query_id,query,docid,passage,label,query_len,passage_len,difficulty,lexical_overlap
5684,Участвовали ли линкорны в Первой Мировой войне?,33024#67,"Линейный корабль Во время первой мировой войны немецкий «Хохзеефлотте» — Флот открытого моря и английский «Гранд флит» провели большую часть времени на своих базах, так как стратегическое значение кораблей казалось слишком большим, чтобы рисковать ими в бою. Единственное в этой войне боевое столкновение флотов линкоров (Ютландское сражение) состоялось 31 мая 1916 года. Немецкий флот намеревался выманить из баз и разбить по частям английский флот, но англичане, разгадав замысел, вывели в море весь свой флот. Столкнувшись с превосходящими силами, немцы были вынуждены отступить, несколько раз избегнув попадания в ловушку и потеряв несколько своих кораблей (11 против 14 английских). Однако после этого до самого конца войны Флот открытого моря был вынужден оставаться у берегов Германии.",1,7,113,0.5066352941176471,0.029411764705882353
1367,Что такое упырь?,529#3,"Упырь Считалось, что упырями становятся люди, бывшие при жизни оборотнями, колдунами или же те, кто был отлучён от церкви и предан анафеме (еретик, богоотступник, некоторые преступники, например маньяки и т. д.). Согласно поверью, ночью упыри встают из своих могил и ходят по земле, благодаря своему человекоподобному виду легко проникают в дома и сосут кровь у спящих людей, затем, до крика третьих петухов, возвращаются в свои могилы. Убить упыря, по поверью, можно было, проткнув его труп осиновым колом. Если и это не помогало, то труп обычно сжигали. Считалось, что упыри вызывают моровые поветрия, неурожаи, засухи. Иван Франко в этнографической заметке «Сожжение упырей в Нагуевичах» описывает, как в 1830-х годах на родине Франко, в селении Нагуевичи, протаскивали через костёр живых людей, заподозрив в них упырей.",1,3,123,0.5066962962962963,0.009259259259259259
3882,Когда корпорация Microsoft была основана?,11987#6,"Microsoft Компания начинает свою историю с 1975 года, когда друзья-студенты Гарварда Билл Гейтс и Пол Аллен, прочитав опубликованную 1 января 1975 года в журнале «» статью о новом персональном компьютере Altair 8800, разработали для него интерпретатор языка Basic. Через месяц, 1 февраля, было подписано лицензионное соглашение с компанией (MITS), производителем этого ПК, об использовании Basic в составе ПО для Altair. Свою компанию они думали назвать «Аллен и Гейтс», но посчитали, что это больше подходит для юридической конторы, и тогда Пол предложил — «Micro-Soft», от «microcomputer» и «software». Свой первый год новая компания, в которой работало три человека, закончила с оборотом $16 005. (для сравнения: в 2000 году выручка корпорации составила $25,3 млрд, а прибыль — более $7,3 млрд).",1,5,118,0.5068528301886792,0.018867924528301886
1290,Что такое птица Гамаюн?,32835#17,"Гамаюн Во-первых, гамаюн — это райская птица, с которой связываются представления «о счастье и блаженстве». Среди примеров рассказ «» (1851) Ивана Тургенева, главный герой которого мечтает побывать в местах, «где живёт птица Гамаюн сладкогласная, и с дерев лист ни зимой не сыплется, ни осенью, и яблоки растут золотые на серебряных ветках, и живёт всяк человек в довольстве и справедливости». Другой пример — стихотворения Константина Бальмонта «» (1907) и «» (1909), где гамаюн — райская птица, услаждающая людей своим пением: «И если звоном нежных струн ты убаюкан, засыпая, так это птица Гамаюн поёт в безвестном, голубая». В стихотворении «» (1915) Сергея Есенина с гамаюном сравнивается играющий на рожке пастух. Сладкоголосая птица гамаюн упоминается в «Повести о детстве» (1948) Фёдора Гладкова.",1,4,119,0.5068989247311828,0.010752688172043012
3131,Можно в исламе заниматься сексом до брака?,32254#31,"Проституция Ислам сурово карает прелюбодеяние. Однако проституция выжила даже в мусульманских странах.
Проституция может оформляться и как временный брак на одну ночь (""мут’а""),
который формально даёт право на секс и ""махр"" («свадебный подарок»).
Такой «временный брак» считают разрешённым шииты,
у суннитов он запрещён, поскольку не отвечает основному назначению брака, каковым считается рождение и воспитание потомства.
Ещё не состоящие в браке за прелюбодеяние наказываются поркой,
состоящие в браке за это (уже супружеская измена) караются смертной казнью через раджм
(стоит заметить, однако, что, согласно шариату, такое наказание возможно только при наличии признания или четырёх свидетелей).
В большинстве мусульманских стран эти требования шариата на практике не выполняются.",1,7,104,0.5069894736842105,0.010526315789473684
3682,Сколько книг написал Ярослав Гашек?,33228#92,"Гашек, Ярослав Всего Гашек считается автором примерно полутора тысяч произведений. Часть из них он издавал лично, но весьма большой объём работ был издан уже после его смерти. Роман о Швейке пробудил огромный интерес ко всему большому литературному наследию Гашека, к его рассказам и фельетонам, но оказалось, что не так-то просто разобраться в его литературном наследии. До сих пор неизвестны все псевдонимы, под которыми он публиковался в чешских газетах и журналах, не все чешские издания России сохранились в архивах. Да и сама биография писателя: служба в трёх армиях, жизнь в двух империях и двух республиках, не очень способствует поискам его произведений. Поэтому неудивительно, что новые книги под авторством Гашека выходят в свет до сих пор.",1,5,114,0.5070333333333333,0.010416666666666666
1402,Какого принца поддерживала Жанна д’Арк?,63517#8,"Жанна д’Арк За одиннадцать дней преодолев расстояние по неприятельской бургундской территории между Домреми и Шиноном, в конце февраля или в начале марта 1429 года Жанна прибыла в этот замок — резиденцию дофина Карла. Дофин воспользовался тем, что Жанна писала ему из Сент-Катрин-де-Фьербуа, что обязательно узнает его, и устроил ей проверку, посадив на трон другого человека и встав в толпе придворных. Однако Жанна выдержала испытание, узнав его. Она объявила Карлу, что послана Небом для освобождения страны от английского господства и попросила войска для того, чтобы снять осаду Орлеана. Затем Карл и Жанна отошли в сторону и долго беседовали наедине, на какую тему — это осталось тайной. Придворные заметили, что Карл после разговора выглядел необыкновенно счастливым.",1,5,114,0.5071183673469388,0.01020408163265306
1811,"Когда был опубликован роман ""Идиот"" Достоевского?",14519#0,"Идиот (роман) «Идио́т» — роман Фёдора Михайловича Достоевского, впервые опубликованный в номерах журнала «Русский вестник» за 1868 год. Является одним из самых любимых произведений писателя, наиболее полно выразившим и нравственно-философскую позицию Достоевского, и его художественные принципы в 1860-х годах. Замысел романа обдумывался писателем во время пребывания за границей — в Германии и Швейцарии. Первая запись к «Идиоту» сделана 14 сентября 1867 г. по н. ст. в Женеве. Дописывался роман в Италии, закончен во Флоренции 29 января 1869 г. Первоначально посвящался любимой племяннице писателя С. А. Ивановой. Сохранилось три тетради с подготовительными материалами к роману (впервые опубликованы в 1931 г.) Ни черновая, ни беловая рукописи романа до нас не дошли.",1,6,109,0.5071183673469388,0.01020408163265306
5482,"Когда был написан роман ""Идиот"" Достоевского?",14519#0,"Идиот (роман) «Идио́т» — роман Фёдора Михайловича Достоевского, впервые опубликованный в номерах журнала «Русский вестник» за 1868 год. Является одним из самых любимых произведений писателя, наиболее полно выразившим и нравственно-философскую позицию Достоевского, и его художественные принципы в 1860-х годах. Замысел романа обдумывался писателем во время пребывания за границей — в Германии и Швейцарии. Первая запись к «Идиоту» сделана 14 сентября 1867 г. по н. ст. в Женеве. Дописывался роман в Италии, закончен во Флоренции 29 января 1869 г. Первоначально посвящался любимой племяннице писателя С. А. Ивановой. Сохранилось три тетради с подготовительными материалами к роману (впервые опубликованы в 1931 г.) Ни черновая, ни беловая рукописи романа до нас не дошли.",1,6,109,0.5071183673469388,0.01020408163265306
3880,Кто был создателем языка C++?,4435#5,"C++ Вспомнив опыт своей диссертации, Страуструп решил дополнить язык C (преемник BCPL) возможностями, имеющимися в языке Симула. Язык C, будучи базовым языком системы UNIX, на которой работали компьютеры Bell, является быстрым, многофункциональным и переносимым. Страуструп добавил к нему возможность работы с классами и объектами. В результате практические задачи моделирования оказались доступными для решения как с точки зрения времени разработки (благодаря использованию Симула-подобных классов), так и с точки зрения времени вычислений (благодаря быстродействию C). В первую очередь в C были добавлены классы (с инкапсуляцией), наследование классов, строгая проверка типов, inline-функции и аргументы по умолчанию. Ранние версии языка, первоначально именовавшегося «C with classes» («Си с классами»), стали доступны с 1980 года.",1,5,109,0.5072,0.0
